標的,年度,進場日,出場日,原因,出場價,損益,報酬率
辛耘,2026,2026-05-11,2026-05-20,跌破月線,826.0,-220779,-7.81
祥碩,2025,2025-02-07,2025-02-24,跌破月線,2120.0,-82230,-5.07
祥碩,2025,2025-03-26,2025-03-28,跌破月線,1930.0,-114339,-7.34
祥碩,2025,2025-05-12,2025-06-13,跌破月線,1910.0,-32663,-0.6
祥碩,2026,2026-05-08,2026-06-08,跌破月線,1400.0,-252474,-6.29
智邦,2025,2025-04-29,2025-06-18,跌破月線,730.0,419664,9.77
智邦,2025,2025-07-28,2025-08-22,跌破月線,940.0,2712,0.51
智邦,2025,2025-09-10,2025-09-19,8%硬停損,1015.0,-192123,-8.28
智邦,2025,2025-12-11,2025-12-31,回測結束,1185.0,43144,4.26
智邦,2026,2026-02-10,2026-03-31,跌破月線,1510.0,30446,1.73
智邦,2026,2026-04-10,2026-05-15,停利≥20%+跌10MA,2505.0,845388,27.36
華通,2025,2025-01-03,2025-01-09,跌破月線,67.7,-77709,-4.78
華通,2025,2025-05-08,2025-05-29,跌破月線,61.3,-3793,0.18
華通,2025,2025-07-11,2025-09-01,停利≥20%+跌10MA,75.8,886552,20.09
華通,2025,2025-12-15,2025-12-31,回測結束,93.1,-80819,-2.48
華通,2026,2026-01-07,2026-03-05,停利≥20%+跌10MA,205.0,1256996,31.01
華通,2026,2026-03-16,2026-03-24,跌破月線,209.5,-284248,-7.92
華通,2026,2026-03-26,2026-04-20,跌破月線,250.5,25507,1.89
華通,2026,2026-05-22,2026-05-28,跌破月線,259.0,-143787,-6.97
力積電,2025,2025-02-03,2025-02-04,8%硬停損,18.65,-155660,-10.03
力積電,2025,2025-02-19,2025-02-27,跌破月線,18.35,-50011,-3.05
力積電,2025,2025-05-09,2025-06-02,跌破月線,14.75,-80774,-2.14
力積電,2025,2025-07-03,2025-07-08,8%硬停損,16.25,-119759,-8.06
力積電,2025,2025-07-21,2025-07-23,跌破月線,15.7,-100716,-6.96
力積電,2025,2025-09-11,2025-10-22,停利≥20%+跌10MA,28.0,642695,20.42
力積電,2025,2025-10-27,2025-11-04,8%硬停損,29.05,-280807,-8.45
力積電,2025,2025-11-11,2025-11-24,跌破月線,32.1,-68328,-3.45
力積電,2025,2025-12-18,2025-12-31,回測結束,39.55,212112,6.3
力積電,2026,2026-01-16,2026-03-04,跌破月線,61.4,-243160,-6.17
力積電,2026,2026-05-28,2026-06-08,8%硬停損,67.5,-231427,-16.48
金像電,2025,2025-02-18,2025-02-24,跌破月線,223.5,-85950,-5.63
金像電,2025,2025-05-02,2025-06-18,跌破月線,263.5,511332,13.54
金像電,2025,2025-07-04,2025-09-02,跌破月線,435.0,297069,8.73
金像電,2025,2025-11-03,2025-12-17,跌破月線,586.0,504604,13.74
金像電,2025,2025-12-24,2025-12-31,回測結束,687.0,45033,2.7
金像電,2026,2026-02-10,2026-03-03,8%硬停損,766.0,-84591,-9.59
金像電,2026,2026-03-19,2026-03-24,8%硬停損,888.0,-122357,-11.77
金像電,2026,2026-04-09,2026-05-15,跌破月線,1290.0,296935,9.78
金像電,2026,2026-06-09,2026-06-11,8%硬停損,1345.0,-158076,-10.16
博智,2025,2025-03-06,2025-03-31,8%硬停損,129.5,-405790,-11.51
博智,2025,2025-05-08,2025-05-28,跌破月線,122.5,-88718,-2.29
博智,2025,2025-06-04,2025-06-13,跌破月線,125.5,-52400,-3.6
博智,2025,2025-07-29,2025-08-06,跌破月線,122.5,-92282,-6.62
博智,2025,2025-08-12,2025-08-22,8%硬停損,137.5,-182496,-8.29
博智,2025,2025-08-29,2025-09-03,8%硬停損,144.5,-106900,-8.09
博智,2025,2025-10-08,2025-10-23,8%硬停損,155.5,-118522,-9.46
博智,2025,2025-11-12,2025-11-14,8%硬停損,162.5,-89819,-8.06
博智,2025,2025-12-09,2025-12-15,8%硬停損,171.0,-102134,-8.69
博智,2026,2026-01-27,2026-03-02,跌破月線,198.5,-109767,-6.94
博智,2026,2026-03-20,2026-03-24,8%硬停損,250.0,-132485,-9.22
博智,2026,2026-04-09,2026-05-15,跌破月線,399.0,226084,22.59
台光電,2025,2025-04-25,2025-06-18,停利≥20%+跌10MA,845.0,1096536,24.76
台光電,2025,2025-06-30,2025-09-01,跌破月線,1155.0,1100230,19.58
台光電,2025,2025-11-04,2025-11-11,8%硬停損,1320.0,-157930,-10.33
台光電,2025,2025-11-26,2025-12-31,回測結束,1645.0,161711,4.23
台光電,2026,2026-01-28,2026-01-30,8%硬停損,1745.0,-130352,-8.29
台光電,2026,2026-02-04,2026-03-30,停利≥20%+跌10MA,2785.0,786944,22.39
台光電,2026,2026-04-09,2026-05-15,停利≥20%+跌10MA,4615.0,1049195,22.81
台光電,2026,2026-07-03,2026-07-06,8%硬停損,5475.0,-212409,-10.08
台燿,2025,2025-03-20,2025-03-28,跌破月線,167.5,-150903,-5.65
台燿,2025,2025-05-08,2025-06-20,停利≥20%+跌10MA,208.0,903688,23.0
台燿,2025,2025-07-04,2025-08-06,跌破月線,253.5,19827,0.9
台燿,2025,2025-08-13,2025-09-04,跌破月線,307.5,125485,8.69
台燿,2025,2025-10-28,2025-12-16,跌破月線,405.0,417770,8.56
台燿,2025,2025-12-24,2025-12-31,回測結束,494.0,-20680,-0.94
台燿,2026,2026-03-26,2026-05-18,停利≥20%+跌10MA,1260.0,1212690,29.02
臻鼎KY,2025,2025-02-18,2025-02-27,跌破月線,117.5,-62319,-3.83
臻鼎KY,2025,2025-06-04,2025-06-12,跌破月線,101.0,-79277,-5.3
臻鼎KY,2025,2025-07-09,2025-09-08,跌破月線,168.0,288383,9.03
臻鼎KY,2026,2026-01-13,2026-03-04,跌破月線,179.0,23605,1.03
臻鼎KY,2026,2026-03-26,2026-06-08,停利≥20%+跌10MA,512.0,2136675,54.37
臻鼎KY,2026,2026-06-18,2026-06-23,8%硬停損,587.0,-175529,-8.7
金居,2025,2025-02-24,2025-03-03,跌破月線,55.4,-115273,-3.17
金居,2025,2025-05-12,2025-06-20,跌破月線,56.0,118166,3.73
金居,2025,2025-07-09,2025-09-15,跌破月線,210.5,5692964,101.75
金居,2025,2025-10-07,2025-10-13,8%硬停損,221.5,-472481,-13.77
金居,2025,2025-12-08,2025-12-17,跌破月線,238.5,-484712,-6.69
金居,2025,2025-12-31,2025-12-31,回測結束,277.0,-17811,-0.14
金居,2026,2026-01-02,2026-01-07,8%硬停損,266.0,-127945,-8.41
金居,2026,2026-01-22,2026-01-26,8%硬停損,270.0,-104453,-8.45
金居,2026,2026-04-13,2026-05-14,停利≥20%+跌10MA,427.0,758849,20.87
金居,2026,2026-05-27,2026-06-11,8%硬停損,540.0,-179603,-8.09
金居,2026,2026-06-18,2026-06-24,8%硬停損,638.0,-131635,-8.99
南亞,2025,2025-02-24,2025-03-04,跌破月線,31.95,-189284,-7.13
南亞,2025,2025-05-05,2025-05-22,跌破月線,30.7,-48633,-2.99
南亞,2025,2025-07-23,2025-08-19,急跌>10%+放量,42.15,797073,19.81
南亞,2025,2025-10-09,2025-11-03,跌破月線,41.35,-120201,-3.81
南亞,2025,2025-11-11,2025-12-16,跌破月線,58.2,629309,19.18
南亞,2026,2026-01-08,2026-02-02,跌破月線,70.6,26384,1.34
南亞,2026,2026-06-02,2026-06-08,8%硬停損,97.5,-202687,-13.46
南亞,2026,2026-06-18,2026-07-13,回測結束,199.5,1015660,29.16
順達,2025,2025-01-08,2025-01-09,8%硬停損,203.0,-112269,-8.07
順達,2025,2025-03-12,2025-03-28,8%硬停損,181.0,-165130,-11.18
順達,2025,2025-04-29,2025-05-28,跌破月線,195.5,201963,5.94
順達,2025,2025-07-09,2025-07-16,8%硬停損,221.0,-160969,-10.47
順達,2025,2025-08-15,2025-09-15,停利≥20%+跌10MA,381.0,591186,23.0
順達,2025,2025-12-17,2025-12-31,回測結束,337.0,170102,5.3
順達,2026,2026-03-20,2026-03-23,跌破月線,300.5,-105166,-7.67
順達,2026,2026-03-26,2026-04-02,8%硬停損,332.0,-127934,-8.42
順達,2026,2026-04-08,2026-04-15,8%硬停損,348.0,-97733,-8.19
順達,2026,2026-04-22,2026-04-24,8%硬停損,381.5,-107333,-8.2
盛群,2025,2025-01-07,2025-01-13,8%硬停損,48.1,-161711,-10.72
盛群,2025,2025-05-08,2025-06-02,跌破月線,43.3,-80007,-2.15
盛群,2025,2025-09-04,2025-09-10,跌破月線,38.8,-65770,-4.22
盛群,2026,2026-01-22,2026-03-09,跌破月線,54.2,359525,10.44
盛群,2026,2026-04-22,2026-04-23,8%硬停損,55.4,-141209,-8.56
盛群,2026,2026-05-11,2026-05-13,跌破月線,54.9,-128114,-7.86
盛群,2026,2026-07-09,2026-07-13,回測結束,69.4,-86225,-5.46
松翰,2025,2025-02-19,2025-02-27,跌破月線,40.8,-74942,-4.59
松翰,2025,2025-05-22,2025-06-02,8%硬停損,35.1,-137181,-8.96
松翰,2025,2025-08-13,2025-09-11,跌破月線,35.25,24739,1.08
松翰,2025,2025-09-15,2025-09-26,跌破月線,37.4,-182558,-7.14
松翰,2026,2026-01-28,2026-01-30,8%硬停損,36.55,-141295,-9.1
松翰,2026,2026-02-23,2026-03-19,跌破月線,41.5,-156626,-4.68
松翰,2026,2026-05-11,2026-06-04,跌破月線,51.7,-27543,-0.47
松翰,2026,2026-07-09,2026-07-13,回測結束,67.5,-9894,-0.29
凌通,2025,2025-08-20,2025-09-09,跌破月線,40.7,-71356,-2.42
凌通,2026,2026-01-28,2026-03-19,跌破月線,43.05,-12685,0.14
凌通,2026,2026-04-21,2026-05-19,跌破月線,48.0,-225446,-5.02
凌通,2026,2026-05-27,2026-06-02,8%硬停損,51.1,-130140,-8.55
凌通,2026,2026-07-03,2026-07-07,跌破月線,56.0,-101963,-6.95
微星,2025,2025-01-08,2025-01-15,8%硬停損,179.5,-115999,-8.08
微星,2025,2025-02-18,2025-02-27,跌破月線,185.0,-116224,-7.86
微星,2025,2025-08-05,2025-08-11,跌破月線,145.5,-70744,-4.73
微星,2026,2026-03-18,2026-03-20,跌破月線,93.5,-68284,-4.24
微星,2026,2026-05-11,2026-06-23,跌破月線,133.5,444312,11.12
英業達,2025,2025-01-03,2025-01-10,跌破月線,50.3,-55900,-3.41
英業達,2025,2025-04-29,2025-05-27,跌破月線,41.6,-5006,0.1
英業達,2025,2025-09-12,2025-10-14,跌破月線,43.05,-125422,-3.48
英業達,2025,2025-12-03,2025-12-15,跌破月線,43.35,-146366,-5.71
英業達,2026,2026-01-22,2026-01-23,急跌>10%+放量,48.0,-101069,-6.38
英業達,2026,2026-05-13,2026-06-11,跌破月線,65.4,-72847,-3.27
南亞科,2025,2025-02-13,2025-03-25,跌破月線,40.65,556029,13.31
南亞科,2025,2025-05-14,2025-06-27,跌破月線,53.1,343790,7.65
南亞科,2025,2025-08-12,2025-08-20,跌破月線,44.55,-117088,-6.25
南亞科,2025,2025-08-27,2025-09-02,跌破月線,45.65,-87117,-4.63
南亞科,2025,2025-09-05,2025-11-20,停利≥20%+跌10MA,155.5,4350123,78.41
南亞科,2025,2025-12-18,2025-12-31,回測結束,193.0,577997,7.47
南亞科,2026,2026-01-02,2026-02-03,急跌>10%+放量,277.5,161187,8.74
南亞科,2026,2026-05-05,2026-06-10,跌破月線,333.0,-141475,-3.26
南亞科,2026,2026-06-16,2026-07-02,跌破月線,407.0,-250562,-7.5
環球晶,2025,2025-02-25,2025-03-18,跌破月線,381.5,-84755,-3.85
環球晶,2025,2025-05-16,2025-05-26,跌破月線,315.0,-95491,-6.66
環球晶,2025,2025-07-11,2025-09-02,跌破月線,356.0,189342,6.57
環球晶,2025,2025-09-12,2025-10-14,跌破月線,471.0,355885,13.72
環球晶,2025,2025-10-21,2025-11-04,8%硬停損,481.0,-188691,-11.22
環球晶,2026,2026-01-06,2026-02-02,跌破月線,473.0,43876,2.17
環球晶,2026,2026-04-15,2026-05-19,跌破月線,665.0,99680,5.39
環球晶,2026,2026-05-27,2026-06-05,8%硬停損,811.0,-123910,-12.92
環球晶,2026,2026-06-16,2026-06-26,8%硬停損,936.0,-114626,-10.56
環球晶,2026,2026-07-06,2026-07-07,8%硬停損,1205.0,-137229,-9.87
聯茂,2025,2025-05-02,2025-06-13,停利≥20%+跌10MA,87.5,885339,20.41
聯茂,2025,2025-07-15,2025-07-22,跌破月線,87.8,-117392,-6.53
聯茂,2025,2025-07-25,2025-08-06,8%硬停損,90.7,-270309,-9.26
聯茂,2025,2025-08-15,2025-09-08,跌破月線,115.5,-215569,-7.58
聯茂,2025,2025-10-30,2025-11-10,8%硬停損,105.0,-177220,-11.14
聯茂,2025,2025-12-09,2025-12-17,跌破月線,108.0,-86318,-5.4
聯茂,2026,2026-01-05,2026-01-08,跌破月線,113.0,-80029,-5.18
聯茂,2026,2026-02-24,2026-03-04,8%硬停損,121.5,-140000,-9.12
聯茂,2026,2026-03-13,2026-03-24,跌破月線,132.5,-105984,-4.57
聯茂,2026,2026-04-02,2026-05-13,跌破月線,273.5,422788,13.39
聯茂,2026,2026-06-26,2026-07-13,回測結束,362.0,60326,4.32
事欣科,2025,2025-02-05,2025-03-11,跌破月線,45.35,697790,19.74
事欣科,2025,2025-04-29,2025-05-28,跌破月線,43.5,-120472,-3.74
事欣科,2025,2025-07-24,2025-09-02,跌破月線,61.9,1011895,22.89
事欣科,2025,2025-09-09,2025-09-12,8%硬停損,63.3,-173362,-8.26
事欣科,2025,2025-12-09,2025-12-31,回測結束,57.0,256225,5.41
事欣科,2026,2026-01-12,2026-02-02,跌破月線,62.0,-131483,-3.66
事欣科,2026,2026-05-20,2026-06-11,停利≥20%+跌10MA,114.5,471670,22.02
光寶科,2025,2025-01-09,2025-01-15,跌破月線,101.0,-50325,-3.02
光寶科,2025,2025-01-16,2025-02-27,跌破月線,107.0,-56321,-1.91
光寶科,2025,2025-04-29,2025-06-02,跌破月線,101.0,90762,3.36
光寶科,2025,2025-06-04,2025-08-19,跌破月線,127.5,524225,13.58
光寶科,2025,2025-09-11,2025-10-13,跌破月線,168.0,-97348,-3.31
光寶科,2026,2026-02-10,2026-03-02,跌破月線,169.0,-76000,-4.92
光寶科,2026,2026-05-06,2026-06-08,跌破月線,218.5,173005,5.6
欣銓,2025,2025-01-10,2025-02-26,跌破月線,72.0,143937,4.35
欣銓,2025,2025-05-12,2025-05-22,跌破月線,74.9,-126286,-7.78
欣銓,2025,2025-09-05,2025-10-02,跌破月線,82.5,-54124,-1.71
欣銓,2025,2025-10-31,2025-11-07,8%硬停損,88.5,-213218,-8.42
欣銓,2025,2025-12-11,2025-12-16,跌破月線,89.6,-84465,-5.52
欣銓,2025,2025-12-26,2025-12-31,回測結束,124.5,331986,17.03
欣銓,2026,2026-01-02,2026-02-05,跌破月線,148.0,81409,3.17
欣銓,2026,2026-03-30,2026-05-15,停利≥20%+跌10MA,226.0,935394,25.09
欣銓,2026,2026-07-06,2026-07-07,8%硬停損,231.5,-188227,-10.05
